actual,proposed,linearVelocityError,angularVelocity
-0.24574369192123413,-0.24119369685649872,0.2480918914079666,-0.003504975000396371
-0.26237788796424866,-0.24574369192123413,0.21777063608169556,-0.0035711065866053104
-0.2671300768852234,-0.2671300768852234,0.2029447704553604,-0.0038819548208266497
-0.2756839096546173,-0.27093181014060974,0.18772757053375244,-0.003937214147299528
-0.2794855535030365,-0.2756839096546173,0.15818825364112854,-0.004006288014352322
-0.2832871675491333,-0.2832871675491333,0.14383776485919952,-0.004116806201636791
-0.3153965175151825,-0.3153965175151825,0.1150948628783226,-0.004583562724292278
-0.3195180892944336,-0.3184877038002014,0.101119764149189,-0.0046284995041787624
-0.3195180892944336,-0.3195180892944336,0.07476140558719635,-0.0046434784308075905
-0.26082804799079895,-0.26082804799079895,0.062444426119327545,-0.0037903538905084133
-0.26082804799079895,-0.26082804799079895,0.050601184368133545,-0.0037903538905084133
-0.26082804799079895,-0.26082804799079895,0.028263701125979424,-0.0037903538905084133
-0.26082804799079895,-0.26082804799079895,0.01773509941995144,-0.0037903538905084133
-0.24041633307933807,-0.24041633307933807,-0.011174380779266357,-0.0034936764277517796
-0.2396358996629715,-0.24041633307933807,-0.011174380779266357,-0.0034936764277517796
-0.23729458451271057,-0.23729458451271057,-0.027906175702810287,-0.003448304021731019
-0.3033873438835144,-0.30644071102142334,-0.03509918600320816,-0.004453372675925493
-0.1999959945678711,-0.1999959945678711,0.2591933608055115,-0.004364600870758295
-0.19525088369846344,-0.19525088369846344,0.24339081346988678,-0.004261034075170755
-0.18482241034507751,-0.19321726262569427,0.23919428884983063,-0.004216648638248444
-0.18025128543376923,-0.18025128543376923,0.23243801295757294,-0.003933658357709646
-0.17502710223197937,-0.17829221487045288,0.22973111271858215,-0.0038909013383090496
-0.14439891278743744,-0.17502710223197937,0.2261008471250534,-0.003819639328867197
-0.14330504834651947,-0.14439891278743744,0.2261008471250534,-0.003151189535856247
-0.14057038724422455,-0.14330504834651947,0.2234315574169159,-0.0031273167114704847
-0.13783571124076843,-0.13783571124076843,0.22331465780735016,-0.0030079535208642483
-0.1481766253709793,-0.1481766253709793,0.22352276742458344,-0.003233635099604726
-0.14639148116111755,-0.14698652923107147,0.2239365428686142,-0.003207661909982562
-0.14579643309116364,-0.14579643309116364,0.22503337264060974,-0.0031816891860216856
-0.1446063369512558,-0.1446063369512558,0.2265693098306656,-0.0031557162292301655
-0.13456450402736664,-0.13456450402736664,0.22740010917186737,-0.002936562756076455
-0.13512052595615387,-0.13512052595615387,0.22886022925376892,-0.0029486974235624075
-0.1373445987701416,-0.1356765478849411,0.22957737743854523,-0.0029608318582177162
-0.16178306937217712,-0.16178306937217712,0.22929531335830688,-0.0035305889323353767
-0.16627667844295502,-0.16627667844295502,0.22756758332252502,-0.0036286611575633287
-0.17415045201778412,-0.17415045201778412,0.2239772528409958,-0.0038005062378942966
-0.18127115070819855,-0.18127115070819855,0.21845529973506927,-0.0039559174329042435
-0.19033372402191162,-0.18580244481563568,0.2105187475681305,-0.0040548150427639484
-0.22304661571979523,-0.22304661571979523,0.2058771252632141,-0.004867716692388058
-0.2387094646692276,-0.2387094646692276,0.19364625215530396,-0.005209596827626228
-0.25288015604019165,-0.25288015604019165,0.1783563792705536,-0.00551891652867198
-0.2465582638978958,-0.2465582638978958,0.16085875034332275,-0.005380920134484768
-0.25829681754112244,-0.25208231806755066,0.1510758399963379,-0.0055015007965266705
-0.26451119780540466,-0.25829681754112244,0.129776731133461,-0.005637154448777437
-0.26796358823776245,-0.26796358823776245,0.1187320202589035,-0.0058481707237660885
